Activity,Assess,Clip,Cum_Activity,Cum_Assess,Cum_Clip,Cum_Game,Game,acc,acc_group,assess_dur_mean,assess_dur_std,assess_dur_sum,correct,cum_acc,cum_corr,cum_dur_activity,cum_dur_asses,cum_dur_clip,cum_dur_game,cum_incorrect,event_counter,game_session,incorrect,installation_id,mean_acc_group,title,type,world
0,1,0,0,0,0,0,0,1.0,3,0.0,0.0,31011,1,0.0,0,0,0,0,0,0,48,901acc108f55a5a1,0,0006a69f,0.0,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,11,0,0,1,0,4,0,0.0,0,5426.1,2302.975247129002,90032,0,1.0,1,0,31011,0,185103,0,87,77b8ee947eb84b4e,11,0006a69f,3.0,Bird Measurer (Assessment),Assessment,TREETOPCITY
0,1,0,0,12,0,4,0,1.0,3,0.0,0.0,18026,1,0.5,1,0,121043,0,185103,11,35,6bdf9623adc94d89,0,0006a69f,1.5,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,2,0,0,13,0,4,0,0.5,2,0.0,0.0,23043,1,0.5,2,0,139069,0,185103,11,42,9501794defd84e4d,1,0006a69f,1.5,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,1,0,0,15,0,8,0,1.0,3,0.0,0.0,13050,1,0.5,3,0,162112,0,320634,12,32,a9ef3ecb3d1acc6a,0,0006a69f,1.6,Bird Measurer (Assessment),Assessment,TREETOPCITY
0,1,0,0,0,0,0,0,1.0,3,0.0,0.0,12635,1,0.0,0,0,0,0,0,0,24,197a373a77101924,0,0006c192,0.0,Cauldron Filler (Assessment),Assessment,MAGMAPEAK
0,4,0,0,1,0,0,0,0.0,0,15868.0,9669.831384258983,79992,0,0.5,1,0,12635,0,0,0,116,b2297d292892745a,4,0006c192,1.5,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,2,0,0,5,0,0,0,0.5,2,0.0,0.0,32131,1,0.3333333333333333,1,0,92627,0,0,4,200,957406a905d59afd,1,0006c192,1.0,Bird Measurer (Assessment),Assessment,TREETOPCITY
0,1,0,0,0,0,0,0,1.0,3,0.0,0.0,12599,1,0.0,0,0,0,0,0,0,40,ae691ec5ad5652cf,0,00129856,0.0,Bird Measurer (Assessment),Assessment,TREETOPCITY
0,2,0,0,0,0,0,0,0.5,2,0.0,0.0,42998,1,0.0,0,0,0,0,0,0,64,c046a858e7c8bf03,1,001d0ed0,0.0,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,1,0,0,2,0,0,0,1.0,3,0.0,0.0,22110,1,0.5,1,0,42998,0,0,1,37,dc6bc0284039c9fb,0,001d0ed0,2.0,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
0,5,0,0,3,0,0,0,0.0,0,7175.75,4616.3921248091565,49936,0,0.75,2,0,65108,0,0,1,51,7b536271e99518f0,5,001d0ed0,2.5,Bird Measurer (Assessment),Assessment,TREETOPCITY
0,1,0,0,8,0,0,0,1.0,3,0.0,0.0,13811,1,0.5,2,0,115044,0,0,6,13,9480b026e3e7d371,0,001d0ed0,1.6666666666666667,Cart Balancer (Assessment),Assessment,CRYSTALCAVES
